1|1|1|1|75000
2|2|2|1|95000
3|3|3|1|120000
4|4|4|1|180000
5|5|5|1|60000
6|6|6|1|110000
7|7|7|1|110000
8|8|8|1|150000
9|9|9|1|95000
10|10|10|1|80000
11|11|11|1|135000
12|12|12|1|220000
13|13|13|1|210000
14|14|14|1|125000
15|15|15|1|165000
16|16|16|1|180000
17|17|17|1|155000
18|18|18|1|175000
19|19|19|1|135000
20|20|20|1|150000
21|21|21|1|70000
22|22|22|1|85000
23|23|23|1|100000
24|24|24|1|90000
25|25|25|1|105000
26|26|26|1|85000
27|27|27|1|100000
28|28|28|1|75000
29|29|29|1|95000
30|30|30|1|115000
