1|01/03/2026|1|0.0|75000|01/03/2026
2|02/03/2026|2|5.0|90250|02/03/2026
3|03/03/2026|3|0.0|120000|03/03/2026
4|04/03/2026|4|10.0|162000|04/03/2026
5|05/03/2026|5|0.0|60000|05/03/2026
6|06/03/2026|6|5.0|104500|06/03/2026
7|07/03/2026|7|0.0|110000|07/03/2026
8|08/03/2026|8|10.0|135000|08/03/2026
9|09/03/2026|9|0.0|95000|09/03/2026
10|10/03/2026|10|5.0|76000|10/03/2026
11|11/03/2026|11|0.0|135000|11/03/2026
12|12/03/2026|12|10.0|198000|12/03/2026
13|13/03/2026|13|0.0|210000|13/03/2026
14|14/03/2026|14|5.0|118750|14/03/2026
15|15/03/2026|15|0.0|165000|15/03/2026
16|16/03/2026|16|10.0|162000|16/03/2026
17|17/03/2026|17|0.0|155000|17/03/2026
18|18/03/2026|18|5.0|166250|18/03/2026
19|19/03/2026|19|0.0|135000|19/03/2026
20|20/03/2026|20|10.0|135000|20/03/2026
21|21/03/2026|21|0.0|70000|21/03/2026
22|22/03/2026|22|5.0|80750|22/03/2026
23|23/03/2026|23|0.0|100000|23/03/2026
24|24/03/2026|24|10.0|81000|24/03/2026
25|25/03/2026|25|0.0|105000|25/03/2026
26|26/03/2026|26|5.0|80750|26/03/2026
27|27/03/2026|27|0.0|100000|27/03/2026
28|28/03/2026|28|10.0|67500|28/03/2026
29|29/03/2026|29|0.0|95000|29/03/2026
30|30/03/2026|30|5.0|109250|30/03/2026
